0.7336,3.1572,0.31,0.27548,0.50015,0.67534,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.020154,-0.24017,0.17476,0.34004,-0.37787,1.0105,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.37806,-0.26671,-0.41131,0.82063,5.1252,1.1355,1
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.022695,-0.43038,-0.36622,1.5029,3.46,1.5163,1
1.2838,-0.21805,-0.41131,1.4941,2.5566,0.84293,1
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.40652,-0.34191,-0.45639,-0.85955,-0.37787,-0.94572,1
0.073171,0.28182,0.67065,0.0029016,-0.37787,1.2208,0
0.56066,-0.36845,-0.27606,4.0645,2.4229,1.3305,1
0.37552,-0.35518,-0.14082,1.3915,1.6613,1.556,1
-0.33623,-0.44808,0.12967,0.78983,-0.37787,1.233,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.17006,-0.24017,1.7526,0.19235,-0.37787,1.1629,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
4.1665,0.65782,-0.36622,4.9422,1.4849,1.3914,1
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.18395,-0.35961,-0.32114,0.29404,-0.37787,0.95872,0
0.034213,-0.018988,-0.41131,0.66071,-0.37787,1.8607,0
0.088415,-0.18266,-0.1859,-0.85955,-0.37787,-0.94572,0
0.40923,-0.36845,-0.45639,1.5535,4.0607,1.5651,1
0.12145,-0.24902,0.21984,1.0177,-0.37787,0.87949,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572,0
0.21071,-0.28883,-0.45639,1.1881,-0.37787,1.5864,0
